run_id,commit_sha,input_size,condition,checkpoint_mtime,backbone,arm,fold,n_val,fs_method,auc,accuracy,sensitivity,specificity,precision,f1,balanced_accuracy,brier_score,tp,tn,fp,fn
2026-08-22-run03,ebc1fa1,96,honest_nested_cv_sensitivity,2026-08-22T17:09:28,convnext_tiny,cnn_only,2,266,mutual_info_classif,0.850512243878061,0.8045112781954887,0.6847826086949078,0.8678160919535243,0.7325581395348837,0.7078651685393258,0.776299350324216,0.1455686144851052,63,151,23,29
2026-08-22-run03,ebc1fa1,96,honest_nested_cv_sensitivity,2026-08-22T17:09:28,convnext_tiny,radiomics_only,2,266,mutual_info_classif,0.9097951024487756,0.8609022556390977,0.7499999999991848,0.9195402298845292,0.8313253012048193,0.7885714285714286,0.8347701149418569,0.1098884454408286,69,160,14,23
2026-08-22-run03,ebc1fa1,96,honest_nested_cv_sensitivity,2026-08-22T17:09:28,convnext_tiny,fusion_late,2,266,mutual_info_classif,0.8966766616691655,0.8383458646616542,0.7173913043470463,0.902298850574194,0.7951807228915663,0.7542857142857143,0.8098450774606203,0.1128555920022314,66,157,17,26
2026-08-22-run03,ebc1fa1,96,honest_nested_cv_sensitivity,2026-08-22T17:09:28,convnext_tiny,fusion_early,2,266,mutual_info_classif,0.8887431284357821,0.8270676691729323,0.6847826086949078,0.902298850574194,0.7875,0.7325581395348837,0.7935407296345509,0.1350411597965765,63,157,17,29
2026-08-22-run03,ebc1fa1,96,honest_nested_cv_sensitivity,2026-08-22T17:09:28,convnext_tiny,fusion_intermediate,2,266,mutual_info_classif,0.897176411794103,0.8571428571428571,0.7173913043470463,0.9310344827580856,0.8461538461538461,0.7764705882352941,0.824212893552566,0.1115430436826294,66,162,12,26
2026-08-22-run03,ebc1fa1,96,honest_nested_cv_sensitivity,2026-08-22T17:10:37,convnext_tiny,cnn_only,3,303,mutual_info_classif,0.8127378435517971,0.7953795379537953,0.556818181817549,0.8930232558135381,0.6805555555555556,0.6125,0.7249207188155435,0.1527014604380809,49,192,23,39
2026-08-22-run03,ebc1fa1,96,honest_nested_cv_sensitivity,2026-08-22T17:10:37,convnext_tiny,radiomics_only,3,303,mutual_info_classif,0.9341437632135304,0.8514851485148515,0.7386363636355242,0.8976744186042337,0.7471264367816092,0.7428571428571429,0.8181553911198789,0.1041371068125503,65,193,22,23
2026-08-22-run03,ebc1fa1,96,honest_nested_cv_sensitivity,2026-08-22T17:10:37,convnext_tiny,fusion_late,3,303,mutual_info_classif,0.9063424947145876,0.834983498349835,0.6590909090901601,0.9069767441856248,0.7435897435897436,0.6987951807228916,0.7830338266378924,0.1079797794343633,58,195,20,30
2026-08-22-run03,ebc1fa1,96,honest_nested_cv_sensitivity,2026-08-22T17:10:37,convnext_tiny,fusion_early,3,303,mutual_info_classif,0.9004756871035942,0.8415841584158416,0.7272727272719008,0.8883720930228427,0.7272727272727273,0.7272727272727273,0.8078224101473718,0.1300146939454838,64,191,24,24
2026-08-22-run03,ebc1fa1,96,honest_nested_cv_sensitivity,2026-08-22T17:10:37,convnext_tiny,fusion_intermediate,3,303,mutual_info_classif,0.8925475687103593,0.834983498349835,0.7613636363627712,0.8651162790693651,0.6979166666666666,0.7282608695652174,0.813239957716068,0.1327880819452117,67,186,29,21
