backbone,arm,fold,n_val,fs_method,auc,accuracy,sensitivity,specificity,precision,f1,balanced_accuracy,brier_score,tp,tn,fp,fn
inceptionv3,radiomics_only,0,292,mutual_info_classif,0.9359161398389798,0.8904109589041096,0.7956989247303272,0.9346733668337013,0.8505747126436781,0.8222222222222222,0.8651861457820142,0.08611746160797613,74,186,13,19
inceptionv3,fusion_late,0,292,mutual_info_classif,0.9510455503323066,0.9178082191780822,0.8172043010743901,0.9648241206025303,0.9156626506024096,0.8636363636363636,0.8910142108384602,0.07607151054751765,76,192,7,17
inceptionv3,fusion_early,0,292,mutual_info_classif,0.9356459717944562,0.9041095890410958,0.7741935483862643,0.9648241206025303,0.9113924050632911,0.8372093023255814,0.8695088344943973,0.08716906697012929,72,192,7,21
inceptionv3,fusion_intermediate,0,292,mutual_info_classif,0.9253255524936511,0.8801369863013698,0.7526881720422014,0.9396984924618395,0.8536585365853658,0.8,0.8461933322520204,0.08731805877705345,70,187,12,23
inceptionv3,cnn_only,1,254,mutual_info_classif,0.9251409405551988,0.8779527559055118,0.6666666666658436,0.9768786127161984,0.9310344827586207,0.7769784172661871,0.821772639691021,0.09591575773602151,54,169,4,27
inceptionv3,radiomics_only,1,254,mutual_info_classif,0.9531149646756583,0.8976377952755905,0.790123456789148,0.9479768786121688,0.8767123287671232,0.8311688311688312,0.8690501677006583,0.0758279859198118,64,164,9,17
inceptionv3,fusion_late,1,254,mutual_info_classif,0.96374794833369,0.8937007874015748,0.7530864197521566,0.9595375722537807,0.8970588235294118,0.8187919463087249,0.8563119960029686,0.07086058166527541,61,166,7,20
inceptionv3,fusion_early,1,254,mutual_info_classif,0.9491186755155926,0.889763779527559,0.7654320987644871,0.9479768786121688,0.8732394366197183,0.8157894736842105,0.8567044886883279,0.09490134356253575,62,164,9,19
inceptionv3,fusion_intermediate,1,254,mutual_info_classif,0.9412688218083208,0.8976377952755905,0.7407407407398262,0.9710982658953925,0.9230769230769231,0.821917808219178,0.8559195033176094,0.08376623090879627,60,168,5,21
inceptionv3,cnn_only,2,266,mutual_info_classif,0.8682533733133433,0.8383458646616542,0.7065217391296668,0.9080459770109724,0.8024691358024691,0.7514450867052023,0.8072838580703197,0.1298935741538669,65,158,16,27
inceptionv3,radiomics_only,2,266,mutual_info_classif,0.9097951024487756,0.8609022556390977,0.7499999999991848,0.9195402298845291,0.8313253012048193,0.7885714285714286,0.8347701149418569,0.10988844544082868,69,160,14,23
inceptionv3,fusion_late,2,266,mutual_info_classif,0.9032358820589705,0.8796992481203008,0.7717391304339437,0.936781609194864,0.8658536585365854,0.8160919540229885,0.8542603698144038,0.10806081318249028,71,163,11,21
inceptionv3,fusion_early,2,266,mutual_info_classif,0.8701274362818591,0.849624060150376,0.7608695652165642,0.8965517241374158,0.7954545454545454,0.7777777777777778,0.8287106446769901,0.13662548057641347,70,156,18,22
inceptionv3,fusion_intermediate,2,266,mutual_info_classif,0.8937406296851574,0.8458646616541353,0.7717391304339437,0.8850574712638593,0.7802197802197802,0.7759562841530054,0.8283983008489015,0.1185755061214348,71,154,20,21
inceptionv3,cnn_only,3,303,mutual_info_classif,0.8972515856236787,0.8283828382838284,0.6590909090901601,0.8976744186042337,0.725,0.6904761904761905,0.7783826638471969,0.11435402170260528,58,193,22,30
inceptionv3,radiomics_only,3,303,mutual_info_classif,0.9344080338266385,0.8448844884488449,0.7272727272719008,0.8930232558135381,0.735632183908046,0.7314285714285714,0.8101479915427194,0.107814713545631,64,192,23,24
inceptionv3,fusion_late,3,303,mutual_info_classif,0.9285940803382664,0.8613861386138614,0.7159090909082774,0.9209302325577112,0.7875,0.75,0.8184196617329943,0.09637643097432977,63,198,17,25
inceptionv3,fusion_early,3,303,mutual_info_classif,0.9001585623678647,0.8547854785478548,0.7159090909082774,0.9116279069763202,0.7682926829268293,0.7411764705882353,0.8137684989422989,0.1280096602946165,63,196,19,25
inceptionv3,fusion_intermediate,3,303,mutual_info_classif,0.9058668076109936,0.8415841584158416,0.7272727272719008,0.8883720930228427,0.7272727272727273,0.7272727272727273,0.8078224101473718,0.11877334791570698,64,191,24,24
inceptionv3,cnn_only,4,251,mutual_info_classif,0.9034074707727403,0.8605577689243028,0.666666666665873,0.9580838323347557,0.8888888888888888,0.7619047619047619,0.8123752495003144,0.10869003777398312,56,160,7,28
inceptionv3,radiomics_only,4,251,mutual_info_classif,0.9368406045052752,0.8924302788844621,0.8095238095228457,0.9341317365263868,0.8607594936708861,0.8343558282208589,0.8718277730246162,0.08527956554048381,68,156,11,16
inceptionv3,fusion_late,4,251,mutual_info_classif,0.9415454804676361,0.8924302788844621,0.7619047619038548,0.9580838323347557,0.9014084507042254,0.8258064516129032,0.8599942971193053,0.08403897565322661,64,160,7,20
inceptionv3,fusion_early,4,251,mutual_info_classif,0.9251497005988024,0.8804780876494024,0.7499999999991072,0.9461077844305713,0.875,0.8076923076923077,0.8480538922148393,0.10632318849196333,63,158,9,21
inceptionv3,fusion_intermediate,4,251,mutual_info_classif,0.934915882520673,0.8884462151394422,0.7380952380943594,0.9640718562868479,0.9117647058823529,0.8157894736842105,0.8510835471906036,0.08419239243498094,62,161,6,22
xception,cnn_only,0,292,mutual_info_classif,0.9247852164046036,0.8972602739726028,0.7526881720422014,0.9648241206025303,0.9090909090909091,0.8235294117647058,0.8587561463223659,0.09030913491632624,70,192,7,23
xception,radiomics_only,0,292,mutual_info_classif,0.9264062246717457,0.8732876712328768,0.7741935483862643,0.9195979899492867,0.8181818181818182,0.7955801104972375,0.8468957691677754,0.09120810356373688,72,183,16,21
xception,fusion_late,0,292,mutual_info_classif,0.9395363916355973,0.9041095890410958,0.7741935483862643,0.9648241206025303,0.9113924050632911,0.8372093023255814,0.8695088344943973,0.0777190433094874,72,192,7,21
