run_id,commit_sha,backbone,internal_name,site_rank,module_class,module_path,spatial_h,spatial_w,exec_index,n_module_calls,exec_index_norm,n,dice,iou,dice_size_matched,pointing_acc,energy_mean,n_zero_cam,is_band_pick,is_canonical_pick,cam_method,seconds
2026-08-20-run04,f81ba0d,densenet121,densenet121,5,AdaptiveAvgPool2d,features.1,1,1,431,436,0.9908,60,0.03495450919152259,0.018872070312039257,0.01132877542761301,0.0,0.0,60,0,0,layercam,1.31
2026-08-20-run04,f81ba0d,resnet50,resnet50,0,ReLU,features.2,32,32,2,185,0.0109,60,0.1000361998613201,0.056153973179827336,0.24053171122032377,0.38333333333333336,0.05082779609562292,0,0,0,layercam,0.61
2026-08-20-run04,f81ba0d,resnet50,resnet50,1,BatchNorm2d,features.5.0.bn1,16,16,39,185,0.212,60,0.116018561665882,0.06806775634653205,0.23635957176895375,0.26666666666666666,0.04928320451157659,0,0,0,layercam,0.55
2026-08-20-run04,f81ba0d,resnet50,resnet50,2,BatchNorm2d,features.6.0.bn1,8,8,83,185,0.4511,60,0.11814123001033264,0.07029315580902583,0.14606066805301665,0.11666666666666667,0.05338501175471514,0,0,0,layercam,0.56
2026-08-20-run04,f81ba0d,resnet50,resnet50,3,ReLU,features.6.0.relu,8,8,84,185,0.4565,60,0.11814123001033264,0.07029315580902583,0.14606066805301665,0.11666666666666667,0.05338501175471514,0,1,0,layercam,0.55
2026-08-20-run04,f81ba0d,resnet50,resnet50,4,BatchNorm2d,features.7.0.bn1,4,4,147,185,0.7989,60,0.10094073214941576,0.058798516576027374,0.0432281783641718,0.05,0.04247380318558049,0,0,0,layercam,0.57
2026-08-20-run04,f81ba0d,resnet50,resnet50,5,Bottleneck,features.7.2,2,2,178,185,0.9674,60,0.0030129092562910854,0.0015683101271446633,0.0020498084290009686,0.0,0.01982152172303274,0,0,1,layercam,0.57
2026-08-20-run04,f81ba0d,resnet50,resnet50,6,AdaptiveAvgPool2d,features.8,1,1,180,185,0.9783,60,0.03495450919152259,0.018872070312039257,0.01132877542761301,0.0,0.0,60,0,0,layercam,0.56
2026-08-20-run04,f81ba0d,vgg16,vgg16,0,ReLU,features.0.3,64,64,3,37,0.0833,60,0.09256463898298059,0.052431544029984185,0.26231325321606,0.4666666666666667,0.11379686319064755,0,0,0,layercam,0.35
2026-08-20-run04,f81ba0d,vgg16,vgg16,1,ReLU,features.0.8,32,32,8,37,0.2222,60,0.1212413227107057,0.07466717214855847,0.35063997479839415,0.38333333333333336,0.11890535883840059,0,0,0,layercam,0.24
2026-08-20-run04,f81ba0d,vgg16,vgg16,2,ReLU,features.0.15,16,16,15,37,0.4167,60,0.10428612914272925,0.0646996043461065,0.194391804635165,0.26666666666666666,0.10503836071650882,0,0,0,layercam,0.26
2026-08-20-run04,f81ba0d,vgg16,vgg16,3,ReLU,features.0.22,8,8,22,37,0.6111,60,0.09138282779308891,0.059676981454956195,0.17848136134959208,0.2,0.10273352306755532,0,1,0,layercam,0.24
2026-08-20-run04,f81ba0d,vgg16,vgg16,4,ReLU,features.0.29,4,4,29,37,0.8056,60,0.015049050442224177,0.00831544658398681,0.0048658296924594,0.0,0.016774396271011384,0,0,0,layercam,0.22
2026-08-20-run04,f81ba0d,vgg16,vgg16,5,MaxPool2d,features.0.30,2,2,30,37,0.8333,60,0.0025494954461517724,0.0013323570714289725,0.0018965517240289338,0.0,0.020103845200121217,0,0,1,layercam,0.22
2026-08-20-run04,f81ba0d,vgg16,vgg16,6,AdaptiveAvgPool2d,features.1,1,1,32,37,0.8889,60,0.03495450919152259,0.018872070312039257,0.01132877542761301,0.0,0.0,60,0,0,layercam,0.22
2026-08-20-run04,f81ba0d,vit_base,vit_b_16,0,LayerNorm,features.encoder.layers.encoder_layer_0.ln_1,14,14,2,141,0.0143,60,0.041071989786355095,0.021940243326167265,0.02716454451389004,0.03333333333333333,0.04091256169596756,0,0,0,layercam,1.66
2026-08-20-run04,f81ba0d,vit_base,vit_b_16,1,LayerNorm,features.encoder.layers.encoder_layer_1.ln_1,14,14,13,141,0.0929,60,0.027630842224944628,0.015266682312354571,0.0516720601825746,0.05,0.030192394265982418,0,0,0,layercam,1.63
2026-08-20-run04,f81ba0d,vit_base,vit_b_16,2,LayerNorm,features.encoder.layers.encoder_layer_2.ln_1,14,14,24,141,0.1714,60,0.05303261872122862,0.028678520413053455,0.08440941591186929,0.06666666666666667,0.09420755405466995,0,0,0,layercam,1.62
2026-08-20-run04,f81ba0d,vit_base,vit_b_16,3,LayerNorm,features.encoder.layers.encoder_layer_3.ln_1,14,14,35,141,0.25,60,0.01638810962538896,0.008618302308732834,0.012285487609636042,0.0,0.014456958575367615,0,0,0,layercam,1.62
2026-08-20-run04,f81ba0d,vit_base,vit_b_16,4,LayerNorm,features.encoder.layers.encoder_layer_4.ln_1,14,14,46,141,0.3286,60,0.03816886376485406,0.020442714097474543,0.06584033244618784,0.03333333333333333,0.019873018349957493,0,0,0,layercam,1.64
2026-08-20-run04,f81ba0d,vit_base,vit_b_16,5,LayerNorm,features.encoder.layers.encoder_layer_5.ln_1,14,14,57,141,0.4071,60,0.025901520615199465,0.013950206299148282,0.01341206860485844,0.0,0.022883608746916664,0,0,0,layercam,1.63
2026-08-20-run04,f81ba0d,vit_base,vit_b_16,6,LayerNorm,features.encoder.layers.encoder_layer_6.ln_1,14,14,68,141,0.4857,60,0.026775233130993663,0.014336025473231033,0.022599604614254958,0.03333333333333333,0.0208347673301356,0,0,0,layercam,1.62
2026-08-20-run04,f81ba0d,vit_base,vit_b_16,7,LayerNorm,features.encoder.layers.encoder_layer_7.ln_1,14,14,79,141,0.5643,60,0.043550782454068106,0.02756850307721668,0.042845504149741025,0.06666666666666667,0.02650161795487838,0,0,0,layercam,1.62
2026-08-20-run04,f81ba0d,vit_base,vit_b_16,8,LayerNorm,features.encoder.layers.encoder_layer_8.ln_1,14,14,90,141,0.6429,60,0.03858905992403891,0.021523176656633895,0.0175640013818396,0.0,0.01982022812941513,27,0,0,layercam,1.62
2026-08-20-run04,f81ba0d,vit_base,vit_b_16,9,LayerNorm,features.encoder.layers.encoder_layer_9.ln_1,14,14,101,141,0.7214,60,0.040148475630144474,0.025436945488699028,0.03251315683450031,0.03333333333333333,0.035774189725417856,0,0,0,layercam,1.62
2026-08-20-run04,f81ba0d,vit_base,vit_b_16,10,LayerNorm,features.encoder.layers.encoder_layer_10.ln_1,14,14,112,141,0.8,60,0.0389622371925098,0.021783223640972158,0.024724350538708598,0.03333333333333333,0.017484086337060396,50,0,0,layercam,1.62
2026-08-20-run04,f81ba0d,vit_base,vit_b_16,11,LayerNorm,features.encoder.layers.encoder_layer_11.ln_1,14,14,123,141,0.8786,60,0.03569182996195316,0.01979526823735684,0.014974401403883609,0.0,0.007354051570139628,53,1,1,layercam,1.62
2026-08-20-run04,f81ba0d,inceptionv3,inception_v3,0,BasicConv2d,features.0,47,47,2,301,0.0067,60,0.0780069178518532,0.045183224946770656,0.07421099673647162,0.15,0.03698075387678136,0,0,0,layercam,1.31
2026-08-20-run04,f81ba0d,inceptionv3,inception_v3,1,BasicConv2d,features.2,45,45,8,301,0.0267,60,0.08233290621440603,0.04566532909145831,0.2088056078706735,0.35,0.047757069257705294,0,0,0,layercam,1.2
2026-08-20-run04,f81ba0d,inceptionv3,inception_v3,2,BasicConv2d,features.4,22,22,12,301,0.04,60,0.10858287503949786,0.0650187621109331,0.31039562700308226,0.4166666666666667,0.04730802824132805,0,0,0,layercam,1.15
2026-08-20-run04,f81ba0d,inceptionv3,inception_v3,3,BasicConv2d,features.5,20,20,15,301,0.05,60,0.09155074296737403,0.05115888813883876,0.23156623365243928,0.43333333333333335,0.04399059941931861,0,0,0,layercam,1.16
2026-08-20-run04,f81ba0d,inceptionv3,inception_v3,4,BasicConv2d,features.10.branch3x3dbl_2,9,9,91,301,0.3033,60,0.08999315844331207,0.05023026277757706,0.16474135896284842,0.2,0.037796772889683763,0,1,0,layercam,1.22
2026-08-20-run04,f81ba0d,inceptionv3,inception_v3,5,InceptionC,features.14,4,4,219,301,0.73,60,0.09546097433010556,0.05762567640271934,0.04560960192772227,0.03333333333333333,0.043481810452702836,0,0,1,layercam,1.2
2026-08-20-run04,f81ba0d,inceptionv3,inception_v3,6,Dropout,features.19,1,1,296,301,0.9867,60,0.03495450919152259,0.018872070312039257,0.01132877542761301,0.0,0.0,60,0,0,layercam,1.2
2026-08-20-run04,f81ba0d,xception,xception,0,ReLU,features.act1,47,47,2,218,0.0092,60,0.08103297323523825,0.04703244879153513,0.1506440434965057,0.31666666666666665,0.038578272254954075,0,0,0,layercam,0.67
2026-08-20-run04,f81ba0d,xception,xception,1,BatchNorm2d,features.block1.rep.4,45,45,14,218,0.0645,60,0.09339748902051759,0.051585940630606716,0.24533841046813765,0.38333333333333336,0.04502030354972428,0,0,0,layercam,0.64
2026-08-20-run04,f81ba0d,xception,xception,2,BatchNorm2d,features.block2.rep.5,23,23,29,218,0.1336,60,0.10185029154566805,0.05747273759215219,0.244191643189494,0.31666666666666665,0.048918606992871684,0,0,0,layercam,0.64
2026-08-20-run04,f81ba0d,xception,xception,3,BatchNorm2d,features.block3.rep.5,12,12,44,218,0.2028,60,0.09990450430493948,0.05760369550693998,0.1810290061396995,0.2,0.04272916081978047,0,0,0,layercam,0.64
